data;time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
2017-05-21;SAN;0.049433333333333336;0.049;0.050866666666666664;0.051366666666666665;0.053;0.051866666666666665;0.05023333333333333;0.0544;0.051333333333333335;0.051533333333333334;0.05223333333333333;0.052033333333333334;0.05;0.05003333333333333;0.051366666666666665;0.047266666666666665;0.0487;0.04463333333333333;0.0467;0.044;
2017-05-21;AGO;0.0203;0.026066666666666665;0.030533333333333332;0.03203333333333333;0.03336666666666667;0.03553333333333333;0.040266666666666666;0.0406;0.045066666666666665;0.0448;0.04683333333333333;0.05296666666666667;0.054433333333333334;0.055266666666666665;0.0609;0.06313333333333333;0.07016666666666667;0.07286666666666666;0.07953333333333333;0.09533333333333334;
2017-05-21;CHA;0.062233333333333335;0.06193333333333333;0.059866666666666665;0.05753333333333333;0.054566666666666666;0.05566666666666667;0.050666666666666665;0.0555;0.0539;0.052366666666666666;0.047466666666666664;0.0485;0.0494;0.0474;0.04546666666666667;0.04133333333333333;0.0418;0.04133333333333333;0.039233333333333335;0.03383333333333333;
2017-05-21;VAS;0.0454;0.05343333333333333;0.051133333333333336;0.049933333333333337;0.051366666666666665;0.051366666666666665;0.052066666666666664;0.051533333333333334;0.05143333333333333;0.05263333333333333;0.0505;0.05053333333333333;0.0494;0.05096666666666667;0.05173333333333333;0.05163333333333334;0.0456;0.0482;0.0488;0.042333333333333334;
2017-05-21;VIT;0.028666666666666667;0.030633333333333332;0.034833333333333334;0.037033333333333335;0.0389;0.04153333333333333;0.04276666666666667;0.045033333333333335;0.047266666666666665;0.05023333333333333;0.05003333333333333;0.05076666666666667;0.05503333333333333;0.0557;0.05603333333333333;0.061033333333333335;0.0636;0.06826666666666667;0.06916666666666667;0.07346666666666667;
2017-05-21;ATP;0.0207;0.024233333333333332;0.028233333333333333;0.030833333333333334;0.03593333333333333;0.03696666666666667;0.04243333333333334;0.0429;0.04253333333333333;0.04493333333333333;0.048433333333333335;0.051166666666666666;0.0535;0.0566;0.060533333333333335;0.06403333333333333;0.07033333333333333;0.07263333333333333;0.07946666666666667;0.0936;
2017-05-21;CAM;0.0253;0.03436666666666666;0.0364;0.0374;0.037733333333333334;0.04203333333333333;0.043166666666666666;0.04563333333333333;0.049133333333333334;0.04836666666666667;0.050366666666666664;0.05263333333333333;0.0544;0.05413333333333333;0.0583;0.05803333333333333;0.0621;0.06363333333333333;0.07153333333333334;0.07533333333333334;
2017-05-21;BOT;0.04853333333333333;0.0495;0.049133333333333334;0.0526;0.05196666666666667;0.05143333333333333;0.05196666666666667;0.0503;0.05146666666666667;0.05076666666666667;0.05216666666666667;0.052366666666666666;0.053033333333333335;0.05213333333333333;0.048266666666666666;0.0503;0.046;0.0472;0.046;0.044866666666666666;
2017-05-21;SPO;0.03956666666666667;0.0411;0.0425;0.045733333333333334;0.0472;0.04443333333333333;0.049166666666666664;0.05006666666666667;0.05;0.0484;0.04883333333333333;0.05223333333333333;0.0511;0.0512;0.05173333333333333;0.0543;0.05486666666666667;0.0576;0.0603;0.059666666666666666;
2017-05-21;SAO;0.03793333333333333;0.04206666666666667;0.0446;0.0462;0.046566666666666666;0.04563333333333333;0.04903333333333333;0.0489;0.0489;0.049633333333333335;0.04986666666666666;0.04973333333333333;0.05123333333333333;0.0518;0.0552;0.053566666666666665;0.054566666666666666;0.05736666666666667;0.0567;0.0605;
2017-05-21;FLA;0.059566666666666664;0.0588;0.058366666666666664;0.0568;0.0545;0.056433333333333335;0.0574;0.05333333333333334;0.0517;0.052;0.05;0.048633333333333334;0.048933333333333336;0.04736666666666667;0.046266666666666664;0.0465;0.0432;0.03866666666666667;0.03713333333333333;0.0344;
2017-05-21;COR;0.06293333333333333;0.058833333333333335;0.06093333333333333;0.05946666666666667;0.05436666666666667;0.05466666666666667;0.05566666666666667;0.052333333333333336;0.0493;0.05243333333333333;0.04923333333333333;0.0487;0.048766666666666666;0.046933333333333334;0.045233333333333334;0.045033333333333335;0.0452;0.039433333333333334;0.0361;0.03443333333333334;
2017-05-21;FLU;0.10393333333333334;0.08663333333333334;0.0758;0.06913333333333334;0.0655;0.06016666666666667;0.05706666666666667;0.0515;0.0486;0.0489;0.046033333333333336;0.0423;0.04016666666666667;0.0388;0.035333333333333335;0.0324;0.029333333333333333;0.0267;0.0228;0.0189;
2017-05-21;AVA;0.0356;0.038933333333333334;0.042333333333333334;0.04106666666666667;0.0449;0.044333333333333336;0.04466666666666667;0.0452;0.04873333333333333;0.047966666666666664;0.05126666666666667;0.0526;0.05293333333333333;0.055966666666666665;0.055766666666666666;0.05446666666666666;0.05553333333333333;0.06116666666666667;0.05973333333333333;0.06683333333333333;
2017-05-21;PAL;0.048766666666666666;0.051166666666666666;0.052366666666666666;0.05103333333333333;0.05056666666666667;0.054966666666666664;0.05026666666666667;0.0516;0.05273333333333333;0.0523;0.05146666666666667;0.050133333333333335;0.049466666666666666;0.04906666666666667;0.04766666666666667;0.049133333333333334;0.04906666666666667;0.047466666666666664;0.04806666666666667;0.0427;
2017-05-21;PON;0.050833333333333335;0.050166666666666665;0.0508;0.05103333333333333;0.0521;0.05003333333333333;0.0538;0.0529;0.0518;0.05173333333333333;0.0523;0.05216666666666667;0.0483;0.05126666666666667;0.04713333333333333;0.05003333333333333;0.049;0.04646666666666667;0.0451;0.04303333333333333;
