data;time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
2021-10-25;America - MG;0.0;0.00014;0.00061;0.00238;0.0079;0.01895;0.03879;0.06599;0.09133;0.10922;0.1187;0.11612;0.10932;0.09446;0.07846;0.06289;0.04484;0.02759;0.0123;1e-05
2021-10-25;Athletico Paranaense - PR;0.0;0.0006;0.00277;0.00858;0.02078;0.04356;0.07157;0.09632;0.11923;0.12226;0.11529;0.10102;0.08736;0.06882;0.0539;0.04016;0.02657;0.01507;0.00614;0.0
2021-10-25;Atlético - GO;0.0;0.00101;0.00377;0.01097;0.02446;0.04835;0.07855;0.106;0.12413;0.11934;0.10928;0.09444;0.07812;0.06436;0.04941;0.03812;0.02602;0.01607;0.0076;0.0
2021-10-25;Atlético Mineiro - MG;0.95431;0.04048;0.00435;0.00068;0.00016;2e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-10-25;Bahia - BA;0.0;3e-05;0.00032;0.00093;0.00327;0.00973;0.02143;0.0382;0.05896;0.07526;0.08899;0.10097;0.10605;0.10882;0.10432;0.09618;0.08262;0.06335;0.04051;6e-05
2021-10-25;Ceará - CE;0.0;7e-05;0.00026;0.00085;0.0022;0.00556;0.01368;0.02563;0.04248;0.05808;0.07286;0.08781;0.0998;0.11071;0.11873;0.11418;0.10362;0.08616;0.05722;0.0001
2021-10-25;Chapecoense - SC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-05;2e-05;9e-05;0.00058;0.00677;0.99253
2021-10-25;Corinthians - SP;0.00021;0.01817;0.04574;0.0882;0.14052;0.19664;0.17666;0.12803;0.08326;0.05039;0.03048;0.01849;0.01163;0.00617;0.00306;0.00152;0.00064;0.00018;1e-05;0.0
2021-10-25;Cuiabá - MT;0.0;9e-05;0.00052;0.00218;0.0069;0.01694;0.0325;0.05755;0.08295;0.10155;0.11449;0.11691;0.11216;0.10298;0.08717;0.07017;0.05032;0.03078;0.01384;0.0
2021-10-25;Flamengo - RJ;0.03118;0.42533;0.23996;0.14202;0.08359;0.04305;0.02043;0.00897;0.00315;0.00139;0.00063;0.00016;8e-05;3e-05;3e-05;0.0;0.0;0.0;0.0;0.0
2021-10-25;Fluminense - RJ;4e-05;0.0045;0.01534;0.03761;0.07372;0.12235;0.15741;0.16129;0.12875;0.09749;0.0696;0.04799;0.03384;0.02208;0.01408;0.0076;0.00416;0.00174;0.00041;0.0
2021-10-25;Fortaleza - CE;0.00636;0.23677;0.27426;0.2132;0.14293;0.07259;0.03294;0.01342;0.00483;0.00176;0.00057;0.00031;4e-05;0.0;2e-05;0.0;0.0;0.0;0.0;0.0
2021-10-25;Grêmio - RS;0.0;1e-05;5e-05;0.00014;0.00091;0.00275;0.0059;0.01065;0.0179;0.028;0.03737;0.04921;0.06323;0.07985;0.10056;0.12101;0.14464;0.16576;0.17073;0.00133
2021-10-25;Internacional - RS;2e-05;0.00793;0.02597;0.0573;0.10518;0.16204;0.17922;0.15405;0.10896;0.07603;0.04857;0.03235;0.01938;0.0116;0.00637;0.00306;0.00143;0.00044;0.0001;0.0
