data;time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
2025-04-07;Fluminense;0.05349;0.05481;0.05437;0.05222;0.05245;0.0521;0.05273;0.05159;0.05094;0.05142;0.05186;0.05067;0.04919;0.04786;0.04872;0.04789;0.04641;0.04497;0.04426;0.04205
2025-04-07;Fortaleza;0.06793;0.06468;0.06153;0.05779;0.05643;0.0553;0.05375;0.05294;0.05188;0.05162;0.04859;0.04836;0.04775;0.04571;0.04327;0.04421;0.03949;0.04082;0.03619;0.03176
2025-04-07;Grêmio;0.05359;0.05295;0.05345;0.05346;0.05242;0.05164;0.05227;0.05177;0.05118;0.051;0.04996;0.04973;0.04992;0.04894;0.04994;0.04841;0.04791;0.04578;0.04338;0.0423
2025-04-07;Internacional;0.06814;0.06439;0.06175;0.05874;0.05774;0.05501;0.05481;0.05316;0.05285;0.05007;0.04949;0.04786;0.04642;0.04595;0.0435;0.04281;0.04123;0.03731;0.03654;0.03223
2025-04-07;Juventude;0.05474;0.05457;0.05359;0.05271;0.05343;0.05343;0.05179;0.05215;0.05068;0.05161;0.05071;0.04816;0.05009;0.04947;0.04853;0.04779;0.04671;0.04551;0.04351;0.04082
2025-04-07;Mirassol;0.03091;0.0349;0.03745;0.03846;0.04129;0.04277;0.0449;0.04553;0.0475;0.04753;0.05036;0.0527;0.05382;0.05464;0.05569;0.05765;0.06029;0.06343;0.06738;0.0728
2025-04-07;Palmeiras;0.06683;0.06361;0.05968;0.0598;0.05704;0.05542;0.05414;0.05364;0.05195;0.05085;0.0501;0.05001;0.04714;0.04545;0.04304;0.04211;0.04158;0.03902;0.03598;0.03261
2025-04-07;Red Bull Bragantino;0.03022;0.03425;0.03789;0.0392;0.04251;0.04265;0.04536;0.04599;0.04613;0.04956;0.04932;0.05109;0.05318;0.05546;0.05658;0.05898;0.06015;0.0612;0.06706;0.07322
2025-04-07;Santos;0.02991;0.03451;0.03674;0.03948;0.04222;0.04192;0.04508;0.04468;0.0469;0.04888;0.04999;0.05274;0.05408;0.05497;0.0564;0.05713;0.06194;0.06351;0.06652;0.0724
2025-04-07;Sport;0.03162;0.03422;0.03776;0.03959;0.04068;0.04239;0.04413;0.04588;0.04656;0.04932;0.0509;0.05246;0.05217;0.05448;0.05696;0.05901;0.06032;0.06433;0.06547;0.07175
