data;time;pos;chance
2021-10-25;America - MG;1;0.0
2021-10-25;America - MG;2;0.00014
2021-10-25;America - MG;3;0.00061
2021-10-25;America - MG;4;0.00238
2021-10-25;America - MG;5;0.0079
2021-10-25;America - MG;6;0.01895
2021-10-25;America - MG;7;0.03879
2021-10-25;America - MG;8;0.06599
2021-10-25;America - MG;9;0.09133
2021-10-25;America - MG;10;0.10922
2021-10-25;America - MG;11;0.1187
2021-10-25;America - MG;12;0.11612
2021-10-25;America - MG;13;0.10932
2021-10-25;America - MG;14;0.09446
2021-10-25;America - MG;15;0.07846
2021-10-25;America - MG;16;0.06289
2021-10-25;America - MG;17;0.04484
2021-10-25;America - MG;18;0.02759
2021-10-25;America - MG;19;0.0123
2021-10-25;America - MG;20;1e-05
2021-10-25;Athletico Paranaense - PR;1;0.0
2021-10-25;Athletico Paranaense - PR;2;0.0006
2021-10-25;Athletico Paranaense - PR;3;0.00277
2021-10-25;Athletico Paranaense - PR;4;0.00858
2021-10-25;Athletico Paranaense - PR;5;0.02078
2021-10-25;Athletico Paranaense - PR;6;0.04356
2021-10-25;Athletico Paranaense - PR;7;0.07157
2021-10-25;Athletico Paranaense - PR;8;0.09632
2021-10-25;Athletico Paranaense - PR;9;0.11923
2021-10-25;Athletico Paranaense - PR;10;0.12226
2021-10-25;Athletico Paranaense - PR;11;0.11529
2021-10-25;Athletico Paranaense - PR;12;0.10102
2021-10-25;Athletico Paranaense - PR;13;0.08736
2021-10-25;Athletico Paranaense - PR;14;0.06882
2021-10-25;Athletico Paranaense - PR;15;0.0539
2021-10-25;Athletico Paranaense - PR;16;0.04016
2021-10-25;Athletico Paranaense - PR;17;0.02657
2021-10-25;Athletico Paranaense - PR;18;0.01507
2021-10-25;Athletico Paranaense - PR;19;0.00614
2021-10-25;Athletico Paranaense - PR;20;0.0
2021-10-25;Atlético - GO;1;0.0
2021-10-25;Atlético - GO;2;0.00101
2021-10-25;Atlético - GO;3;0.00377
2021-10-25;Atlético - GO;4;0.01097
2021-10-25;Atlético - GO;5;0.02446
2021-10-25;Atlético - GO;6;0.04835
2021-10-25;Atlético - GO;7;0.07855
2021-10-25;Atlético - GO;8;0.106
2021-10-25;Atlético - GO;9;0.12413
2021-10-25;Atlético - GO;10;0.11934
2021-10-25;Atlético - GO;11;0.10928
2021-10-25;Atlético - GO;12;0.09444
2021-10-25;Atlético - GO;13;0.07812
2021-10-25;Atlético - GO;14;0.06436
2021-10-25;Atlético - GO;15;0.04941
2021-10-25;Atlético - GO;16;0.03812
2021-10-25;Atlético - GO;17;0.02602
2021-10-25;Atlético - GO;18;0.01607
2021-10-25;Atlético - GO;19;0.0076
2021-10-25;Atlético - GO;20;0.0
2021-10-25;Atlético Mineiro - MG;1;0.95431
2021-10-25;Atlético Mineiro - MG;2;0.04048
2021-10-25;Atlético Mineiro - MG;3;0.00435
2021-10-25;Atlético Mineiro - MG;4;0.00068
2021-10-25;Atlético Mineiro - MG;5;0.00016
2021-10-25;Atlético Mineiro - MG;6;2e-05
2021-10-25;Atlético Mineiro - MG;7;0.0
2021-10-25;Atlético Mineiro - MG;8;0.0
2021-10-25;Atlético Mineiro - MG;9;0.0
2021-10-25;Atlético Mineiro - MG;10;0.0
2021-10-25;Atlético Mineiro - MG;11;0.0
2021-10-25;Atlético Mineiro - MG;12;0.0
2021-10-25;Atlético Mineiro - MG;13;0.0
2021-10-25;Atlético Mineiro - MG;14;0.0
2021-10-25;Atlético Mineiro - MG;15;0.0
2021-10-25;Atlético Mineiro - MG;16;0.0
2021-10-25;Atlético Mineiro - MG;17;0.0
2021-10-25;Atlético Mineiro - MG;18;0.0
2021-10-25;Atlético Mineiro - MG;19;0.0
2021-10-25;Atlético Mineiro - MG;20;0.0
2021-10-25;Bahia - BA;1;0.0
2021-10-25;Bahia - BA;2;3e-05
2021-10-25;Bahia - BA;3;0.00032
2021-10-25;Bahia - BA;4;0.00093
2021-10-25;Bahia - BA;5;0.00327
