data;time;pos;chance
2017-05-23;PAL;16;5,1450000000000005
2017-05-23;PAL;17;4,88
2017-05-23;PAL;18;4,45
2017-05-23;PAL;19;4,74
2017-05-23;PAL;20;4,515000000000001
2017-05-23;GRE;1;9,98
2017-05-23;GRE;2;8,64
2017-05-23;GRE;3;7,9
2017-05-23;GRE;4;6,93
2017-05-23;GRE;5;6,3549999999999995
2017-05-23;GRE;6;6,115
2017-05-23;GRE;7;5,58
2017-05-23;GRE;8;5,38
2017-05-23;GRE;9;5,29
2017-05-23;GRE;10;4,8149999999999995
2017-05-23;GRE;11;4,665
2017-05-23;GRE;12;4,5600000000000005
2017-05-23;GRE;13;4,085
2017-05-23;GRE;14;3,51
2017-05-23;GRE;15;3,38
2017-05-23;GRE;16;3,075
2017-05-23;GRE;17;2,995
2017-05-23;GRE;18;2,715
2017-05-23;GRE;19;2,15
2017-05-23;GRE;20;1,8800000000000001
2017-05-23;CFC;1;5,19
2017-05-23;CFC;2;4,9750000000000005
2017-05-23;CFC;3;5,13
2017-05-23;CFC;4;5,395
2017-05-23;CFC;5;5,195
2017-05-23;CFC;6;5,34
2017-05-23;CFC;7;5,16
2017-05-23;CFC;8;5,1
2017-05-23;CFC;9;5,2
2017-05-23;CFC;10;5,08
2017-05-23;CFC;11;5,075
2017-05-23;CFC;12;4,665
2017-05-23;CFC;13;5,075
2017-05-23;CFC;14;4,8149999999999995
2017-05-23;CFC;15;4,965
2017-05-23;CFC;16;5,07
2017-05-23;CFC;17;4,995
2017-05-23;CFC;18;4,635
2017-05-23;CFC;19;4,775
2017-05-23;CFC;20;4,165
2017-05-23;SAN;1;4,9799999999999995
2017-05-23;SAN;2;5,205
2017-05-23;SAN;3;4,89
2017-05-23;SAN;4;5,5
2017-05-23;SAN;5;5,12
2017-05-23;SAN;6;5,055
2017-05-23;SAN;7;5,5
2017-05-23;SAN;8;5,050000000000001
2017-05-23;SAN;9;5,055
2017-05-23;SAN;10;5,185
2017-05-23;SAN;11;4,99
2017-05-23;SAN;12;5,390000000000001
2017-05-23;SAN;13;5,04
2017-05-23;SAN;14;5,050000000000001
2017-05-23;SAN;15;4,675
2017-05-23;SAN;16;5,205
2017-05-23;SAN;17;4,87
