data;time;pos;chance
2018-04-14;CRU;1;2,675
2018-04-14;CRU;2;3,17
2018-04-14;CRU;3;3,495
2018-04-14;CRU;4;3,8249999999999997
2018-04-14;CRU;5;3,7449999999999997
2018-04-14;CRU;6;4,2250000000000005
2018-04-14;CRU;7;4,32
2018-04-14;CRU;8;4,5249999999999995
2018-04-14;CRU;9;4,61
2018-04-14;CRU;10;4,6850000000000005
2018-04-14;CRU;11;5,06
2018-04-14;CRU;12;5,075
2018-04-14;CRU;13;5,325
2018-04-14;CRU;14;5,220000000000001
2018-04-14;CRU;15;5,71
2018-04-14;CRU;16;6,105
2018-04-14;CRU;17;6,115
2018-04-14;CRU;18;6,635000000000001
2018-04-14;CRU;19;7,41
2018-04-14;CRU;20;8,07
2018-04-14;VIT;1;3,4750000000000005
2018-04-14;VIT;2;4,0649999999999995
2018-04-14;VIT;3;4,24
2018-04-14;VIT;4;4,21
2018-04-14;VIT;5;4,305
2018-04-14;VIT;6;4,36
2018-04-14;VIT;7;4,67
2018-04-14;VIT;8;5,0200000000000005
2018-04-14;VIT;9;4,8500000000000005
2018-04-14;VIT;10;4,83
2018-04-14;VIT;11;4,925
2018-04-14;VIT;12;5,140000000000001
2018-04-14;VIT;13;5,19
2018-04-14;VIT;14;5,47
2018-04-14;VIT;15;5,54
2018-04-14;VIT;16;5,5649999999999995
2018-04-14;VIT;17;5,6899999999999995
2018-04-14;VIT;18;5,635
2018-04-14;VIT;19;6,36
2018-04-14;VIT;20;6,460000000000001
2018-04-14;SAN;1;4,83
2018-04-14;SAN;2;5,1049999999999995
2018-04-14;SAN;3;5,355
2018-04-14;SAN;4;4,935
2018-04-14;SAN;5;5,2299999999999995
2018-04-14;SAN;6;5,115
2018-04-14;SAN;7;5,045
2018-04-14;SAN;8;5,19
2018-04-14;SAN;9;4,82
2018-04-14;SAN;10;4,78
2018-04-14;SAN;11;5,16
2018-04-14;SAN;12;5,175
2018-04-14;SAN;13;5,015
2018-04-14;SAN;14;5,005
2018-04-14;SAN;15;5,2
2018-04-14;SAN;16;5,005
2018-04-14;SAN;17;4,81
2018-04-14;SAN;18;4,96
2018-04-14;SAN;19;4,81
2018-04-14;SAN;20;4,455
2018-04-14;AMG;1;5,029999999999999
2018-04-14;AMG;2;5,01
2018-04-14;AMG;3;5,195
2018-04-14;AMG;4;4,845
2018-04-14;AMG;5;5,685
2018-04-14;AMG;6;4,875
2018-04-14;AMG;7;4,745
2018-04-14;AMG;8;5,06
2018-04-14;AMG;9;5,25
2018-04-14;AMG;10;4,9750000000000005
2018-04-14;AMG;11;4,79
2018-04-14;AMG;12;5,165
2018-04-14;AMG;13;4,96
2018-04-14;AMG;14;5,2
2018-04-14;AMG;15;4,775
2018-04-14;AMG;16;5,13
2018-04-14;AMG;17;4,795
2018-04-14;AMG;18;4,99
2018-04-14;AMG;19;4,795
2018-04-14;AMG;20;4,73
2018-04-14;VAS;1;5,19
2018-04-14;VAS;2;5,395
2018-04-14;VAS;3;5,095000000000001
2018-04-14;VAS;4;5,1499999999999995
2018-04-14;VAS;5;5,11
2018-04-14;VAS;6;4,8950000000000005
2018-04-14;VAS;7;4,925
2018-04-14;VAS;8;4,6
2018-04-14;VAS;9;4,79
2018-04-14;VAS;10;5,08
2018-04-14;VAS;11;4,784999999999999
2018-04-14;VAS;12;5,1450000000000005
2018-04-14;VAS;13;4,84
